EventId,DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,Label
100107,109.829,3.322,65.336,52.22,2.893,211.215,3.061,3.129,1.148,s
100108,90.331,79.938,65.701,1.437,-999.0,-999.0,-999.0,2.725,1.437,b
100109,114.661,81.66,93.669,37.014,-999.0,-999.0,-999.0,2.532,0.953,b
100110,139.756,33.666,92.662,122.937,-999.0,-999.0,-999.0,1.879,5.482,s
100111,87.523,25.455,59.525,85.59,4.868,463.181,-3.399,1.739,16.239,b
100112,287.995,72.23,229.336,5.771,-999.0,-999.0,-999.0,3.269,5.771,b
100113,86.557,35.819,66.08,62.125,-999.0,-999.0,-999.0,1.965,0.11,b
100114,81.926,64.281,63.079,3.257,-999.0,-999.0,-999.0,2.615,3.257,b
100115,134.169,22.734,93.298,11.98,-999.0,-999.0,-999.0,3.466,11.98,s
100116,-999.0,101.879,67.115,27.599,-999.0,-999.0,-999.0,1.87,27.599,b
100117,230.352,85.934,164.075,2.839,-999.0,-999.0,-999.0,3.758,2.839,b
100118,118.996,2.342,72.142,91.566,0.313,281.954,0.882,2.267,101.716,s
100119,116.446,10.168,85.445,1.035,-999.0,-999.0,-999.0,3.025,1.035,s
100120,351.217,9.132,290.837,23.855,-999.0,-999.0,-999.0,3.407,23.855,b
100121,114.254,13.103,72.166,102.395,-999.0,-999.0,-999.0,2.162,44.56,s
100122,64.901,54.866,52.189,79.849,-999.0,-999.0,-999.0,1.169,10.785,b
100123,-999.0,81.748,46.618,30.565,-999.0,-999.0,-999.0,1.387,1.732,b
100124,96.998,30.697,78.583,72.32,-999.0,-999.0,-999.0,1.966,23.068,b
100125,129.803,5.799,96.706,154.97,4.023,580.409,-0.919,1.512,26.316,s
100126,209.904,64.927,125.487,36.377,-999.0,-999.0,-999.0,3.942,27.403,b
100127,97.352,11.453,60.109,133.184,-999.0,-999.0,-999.0,1.411,1.566,s
100128,96.895,34.243,60.566,88.018,0.69,61.257,2.731,1.792,2.427,b
100129,-999.0,87.842,37.796,23.581,-999.0,-999.0,-999.0,1.389,23.581,b
100130,56.601,64.116,55.783,6.38,-999.0,-999.0,-999.0,2.059,6.38,b
100131,-999.0,85.551,51.971,17.796,-999.0,-999.0,-999.0,1.963,18.889,b
100132,-999.0,69.946,110.636,29.691,-999.0,-999.0,-999.0,2.422,1.368,b
100133,113.305,36.582,77.457,32.949,-999.0,-999.0,-999.0,3.058,7.316,b
100134,-999.0,95.64,73.989,54.073,0.698,89.307,0.1,2.588,70.122,b
100135,139.191,19.102,96.308,69.348,4.761,1045.021,-5.662,2.38,15.847,s
100136,94.753,57.575,74.542,1.168,-999.0,-999.0,-999.0,2.724,1.168,b
100137,-999.0,64.479,48.897,3.7,-999.0,-999.0,-999.0,2.098,3.7,b
100138,-999.0,85.463,47.401,1.946,-999.0,-999.0,-999.0,1.406,1.946,b
100139,112.608,34.17,69.649,88.915,-999.0,-999.0,-999.0,1.821,21.597,s
100140,-999.0,64.998,58.011,1.974,-999.0,-999.0,-999.0,2.165,1.974,b
100141,122.656,74.726,72.667,3.345,-999.0,-999.0,-999.0,2.984,3.345,b
100142,155.67,70.997,132.913,50.717,-999.0,-999.0,-999.0,2.144,50.717,b
100143,71.772,48.878,60.579,2.538,-999.0,-999.0,-999.0,2.391,2.538,b
100144,133.451,46.221,62.985,99.843,0.006,31.827,0.039,2.204,25.809,b
100145,197.06,106.642,132.162,20.307,-999.0,-999.0,-999.0,3.76,20.307,b
100146,70.067,69.529,60.041,45.692,-999.0,-999.0,-999.0,1.615,2.446,b
100147,108.351,28.257,70.581,185.138,2.594,301.022,-0.971,1.149,3.462,s
100148,95.635,11.036,61.222,32.741,-999.0,-999.0,-999.0,2.919,1.266,s
100149,113.614,18.075,84.811,16.463,-999.0,-999.0,-999.0,2.918,16.463,b
100150,128.167,52.145,86.912,103.373,0.9,47.636,4.808,2.277,1.936,s
100151,81.279,29.474,56.067,35.277,-999.0,-999.0,-999.0,2.498,1.548,s
100152,92.706,90.924,70.036,6.074,-999.0,-999.0,-999.0,2.481,6.074,b
100153,84.917,40.74,58.352,2.988,-999.0,-999.0,-999.0,3.185,2.988,b
100154,282.242,47.943,224.583,153.947,5.762,1428.776,-8.201,3.207,4.245,b
100155,96.006,52.102,87.713,18.449,-999.0,-999.0,-999.0,3.237,18.449,b
100156,192.314,93.446,108.72,47.709,-999.0,-999.0,-999.0,2.813,4.891,b
100157,144.212,68.333,99.595,2.866,-999.0,-999.0,-999.0,3.128,2.866,b
100158,121.672,15.675,95.441,95.015,3.015,329.862,-2.142,1.572,33.807,s
100159,66.479,30.044,49.848,2.267,-999.0,-999.0,-999.0,2.746,2.267,s
100160,174.297,75.352,85.271,41.458,-999.0,-999.0,-999.0,3.803,1.304,b
100161,118.303,60.852,88.652,29.31,-999.0,-999.0,-999.0,2.726,4.646,b
100162,-999.0,67.535,156.705,81.155,-999.0,-999.0,-999.0,3.274,21.599,b
100163,-999.0,79.383,41.747,26.659,-999.0,-999.0,-999.0,1.398,26.659,b
100164,125.207,8.19,84.892,72.997,0.833,40.888,-0.037,2.033,33.703,b
100165,-999.0,93.147,103.261,21.442,-999.0,-999.0,-999.0,2.992,21.442,b
100166,104.449,27.09,74.349,4.329,-999.0,-999.0,-999.0,3.217,4.329,s
100167,145.804,25.979,99.359,23.894,-999.0,-999.0,-999.0,3.11,23.894,s
100168,-999.0,77.352,63.501,1.217,-999.0,-999.0,-999.0,1.918,1.217,b
100169,89.822,34.534,68.319,23.081,-999.0,-999.0,-999.0,3.397,23.081,b
100170,143.252,96.966,75.581,1.366,-999.0,-999.0,-999.0,2.998,1.366,b
100171,-999.0,68.732,110.173,3.999,-999.0,-999.0,-999.0,3.4,3.999,b
100172,-999.0,129.255,70.316,35.597,-999.0,-999.0,-999.0,2.073,32.024,b
100173,-999.0,106.01,45.032,18.537,-999.0,-999.0,-999.0,1.417,18.537,b
100174,89.656,49.626,64.117,22.802,0.191,144.187,0.137,2.665,27.845,b
100175,96.891,75.387,62.598,1.751,-999.0,-999.0,-999.0,2.682,1.751,b
100176,109.797,64.871,85.842,35.115,-999.0,-999.0,-999.0,2.89,3.356,b
100177,194.922,46.522,155.577,73.591,-999.0,-999.0,-999.0,3.225,14.253,b
100178,75.733,90.985,58.982,46.241,0.718,114.918,0.001,1.745,24.19,b
100179,106.257,52.837,79.097,27.744,-999.0,-999.0,-999.0,3.318,27.744,s
100180,260.788,85.55,216.714,29.351,-999.0,-999.0,-999.0,3.989,4.919,b
100181,-999.0,74.38,92.036,40.693,-999.0,-999.0,-999.0,1.834,3.935,b
100182,142.674,18.26,90.533,118.17,-999.0,-999.0,-999.0,2.359,4.749,s
100183,82.336,49.44,54.143,25.746,0.918,69.669,4.662,2.803,22.513,s
100184,58.939,6.869,37.801,149.66,-999.0,-999.0,-999.0,0.844,58.242,b
100185,-999.0,100.244,22.819,35.492,-999.0,-999.0,-999.0,0.635,0.975,b
100186,153.14,99.636,80.285,23.449,-999.0,-999.0,-999.0,3.055,23.449,b
100187,153.572,0.491,99.219,42.821,-999.0,-999.0,-999.0,2.544,1.261,b
100188,172.577,95.195,89.845,24.768,1.441,108.022,-0.464,2.884,3.475,b
100189,-999.0,104.869,48.886,35.141,-999.0,-999.0,-999.0,1.384,6.088,b
100190,111.688,28.402,73.031,9.849,-999.0,-999.0,-999.0,3.216,9.849,s
100191,95.177,32.628,60.916,85.032,0.019,35.411,0.336,1.927,1.154,b
100192,102.362,12.116,78.3,154.053,4.261,725.805,-3.512,1.444,71.574,b
100193,-999.0,75.248,23.191,1.677,-999.0,-999.0,-999.0,0.857,1.677,s
100194,-999.0,80.862,50.298,3.457,-999.0,-999.0,-999.0,2.033,3.457,b
100195,35.07,83.831,30.425,36.406,-999.0,-999.0,-999.0,0.922,2.856,b
100196,212.083,29.703,165.778,46.133,-999.0,-999.0,-999.0,3.545,23.436,b
100197,74.435,19.885,54.468,59.856,-999.0,-999.0,-999.0,1.832,59.856,b
100198,70.425,41.72,53.681,34.624,-999.0,-999.0,-999.0,1.737,2.926,b
100199,141.908,18.943,96.728,60.187,-999.0,-999.0,-999.0,2.829,0.641,s
100200,107.067,1.939,70.444,54.621,-999.0,-999.0,-999.0,2.079,30.366,s
100201,82.067,6.145,62.668,47.465,-999.0,-999.0,-999.0,2.988,47.465,s
100202,98.23,37.253,63.676,32.62,4.297,278.812,-2.593,2.812,20.976,b
100203,-999.0,82.09,50.228,1.608,-999.0,-999.0,-999.0,1.503,1.608,b
100204,119.663,13.864,86.638,3.154,-999.0,-999.0,-999.0,3.027,3.154,s
100205,157.096,23.206,113.793,96.564,2.675,349.038,-0.575,2.517,62.572,b
100206,170.488,21.505,83.3,70.737,0.463,246.984,-0.039,2.749,78.919,b
100207,58.916,64.559,48.685,31.404,-999.0,-999.0,-999.0,1.606,24.915,b
100208,127.266,84.327,107.259,108.411,-999.0,-999.0,-999.0,1.613,3.209,s
100209,-999.0,77.518,58.031,63.279,1.127,122.734,-0.229,1.256,27.059,b
100210,122.121,29.353,82.872,1.998,-999.0,-999.0,-999.0,2.713,1.998,s
100211,81.555,19.65,44.394,85.753,0.617,51.069,-0.07,1.758,52.831,b
100212,85.717,11.876,48.904,49.698,-999.0,-999.0,-999.0,3.128,33.288,b
100213,193.484,47.934,155.433,18.153,-999.0,-999.0,-999.0,4.007,18.153,b
100214,66.447,6.721,33.942,178.633,0.065,553.436,0.025,0.81,25.153,b
100215,82.104,1.941,51.854,90.605,-999.0,-999.0,-999.0,1.648,18.342,b
100216,163.963,109.809,86.502,17.181,-999.0,-999.0,-999.0,3.38,17.181,b
100217,177.864,89.086,105.618,3.392,-999.0,-999.0,-999.0,3.174,3.392,b
100218,-999.0,65.031,66.686,42.48,-999.0,-999.0,-999.0,2.268,0.276,b
100219,137.313,0.051,97.221,115.169,4.035,539.363,-3.332,1.735,1.478,s
100220,121.57,10.66,89.98,68.274,-999.0,-999.0,-999.0,2.341,2.503,s
100221,137.921,25.015,106.979,0.379,-999.0,-999.0,-999.0,3.243,0.379,s
100222,104.926,48.25,67.718,39.576,-999.0,-999.0,-999.0,2.834,39.576,b
100223,102.851,82.054,83.318,0.826,-999.0,-999.0,-999.0,2.645,0.826,b
100224,139.754,31.656,85.882,45.151,-999.0,-999.0,-999.0,2.944,1.936,s
100225,489.796,33.536,370.101,55.223,-999.0,-999.0,-999.0,5.133,23.116,b
100226,110.318,51.809,93.296,10.96,-999.0,-999.0,-999.0,2.621,10.96,s
100227,-999.0,71.311,43.906,30.682,-999.0,-999.0,-999.0,1.524,30.682,b
100228,105.182,60.438,93.19,7.604,-999.0,-999.0,-999.0,2.377,7.604,s
100229,139.275,80.932,93.968,10.984,-999.0,-999.0,-999.0,3.305,10.984,s
100230,94.683,92.293,60.139,38.801,-999.0,-999.0,-999.0,2.938,38.801,b
100231,85.049,42.88,61.457,1.827,-999.0,-999.0,-999.0,2.85,1.827,s
100232,84.318,21.913,39.313,234.837,0.441,47.634,1.164,0.992,46.135,b
100233,91.845,4.096,65.877,60.25,-999.0,-999.0,-999.0,1.817,26.483,b
100234,128.736,77.805,103.811,3.735,-999.0,-999.0,-999.0,2.718,3.735,b
100235,129.351,11.258,87.187,58.502,-999.0,-999.0,-999.0,2.342,6.921,s
100236,126.547,48.914,81.235,195.293,0.916,128.741,2.503,1.196,7.391,s
100237,149.823,40.714,100.301,54.815,-999.0,-999.0,-999.0,2.289,3.422,b
100238,139.899,17.434,92.993,131.66,-999.0,-999.0,-999.0,1.912,1.747,s
100239,71.683,38.573,52.369,5.423,-999.0,-999.0,-999.0,3.083,66.111,b
100240,110.481,42.055,73.886,49.852,3.66,385.784,-1.249,2.609,45.28,b
100241,62.609,58.135,51.716,6.774,-999.0,-999.0,-999.0,2.334,6.774,b
100242,55.575,60.551,46.192,28.188,-999.0,-999.0,-999.0,1.705,3.752,b
100243,88.147,76.136,67.593,130.094,2.541,455.956,-1.614,1.119,43.033,b
100244,114.648,24.385,73.694,49.635,0.647,106.225,1.149,2.638,13.41,b
100245,159.592,13.063,88.238,275.137,3.342,1056.395,-2.686,1.064,15.092,s
100246,107.392,19.776,33.155,230.029,3.483,992.085,-2.822,1.023,20.894,s
100247,106.026,49.785,66.761,80.68,-999.0,-999.0,-999.0,1.978,38.259,s
100248,102.9,3.885,69.112,90.656,0.661,115.48,8.697,2.189,33.205,s
100249,91.255,34.474,69.843,113.02,1.124,103.034,0.142,1.298,5.26,s
100250,114.803,53.183,65.016,51.02,3.384,264.003,-1.513,2.711,5.9,s
100251,109.012,49.577,72.804,18.844,-999.0,-999.0,-999.0,3.025,18.844,s
100252,104.286,33.361,81.6,4.946,-999.0,-999.0,-999.0,3.0,4.946,b
100253,118.371,75.54,97.136,22.799,-999.0,-999.0,-999.0,3.046,22.799,b
100254,-999.0,72.374,54.448,2.864,-999.0,-999.0,-999.0,1.982,2.864,b
100255,103.952,17.718,71.022,50.26,0.689,79.004,10.32,2.884,0.734,b
100256,134.409,75.664,79.937,23.339,-999.0,-999.0,-999.0,3.492,23.339,b
100257,146.186,85.26,69.326,74.072,-999.0,-999.0,-999.0,2.784,1.006,s
100258,119.445,24.758,84.089,88.389,-999.0,-999.0,-999.0,2.179,23.718,s
100259,141.574,15.544,102.032,44.874,3.723,295.681,-2.079,3.161,46.398,s
100260,196.37,47.744,139.469,49.457,-999.0,-999.0,-999.0,3.599,3.657,b
100261,90.166,5.481,63.54,1.256,-999.0,-999.0,-999.0,3.012,1.256,s
100262,129.415,53.016,86.34,39.797,-999.0,-999.0,-999.0,3.031,39.797,s
100263,148.063,67.008,115.9,34.345,2.455,193.902,-1.357,3.008,52.45,b
100264,112.619,43.113,75.069,46.983,-999.0,-999.0,-999.0,2.747,6.202,s
100265,114.759,69.795,95.566,4.597,-999.0,-999.0,-999.0,2.565,4.597,s
100266,160.303,63.5,130.661,31.728,-999.0,-999.0,-999.0,3.426,1.9,b
100267,218.194,111.502,168.771,53.271,-999.0,-999.0,-999.0,3.058,53.271,s
100268,-999.0,81.67,27.308,2.126,-999.0,-999.0,-999.0,0.937,2.126,b
100269,99.441,12.307,68.759,58.37,-999.0,-999.0,-999.0,2.824,21.089,s
100270,72.52,6.434,51.463,21.628,-999.0,-999.0,-999.0,2.792,21.628,b
100271,119.729,23.952,87.697,114.87,-999.0,-999.0,-999.0,1.736,13.257,s
100272,-999.0,158.871,100.936,3.395,-999.0,-999.0,-999.0,1.526,3.395,s
100273,103.741,17.604,59.317,86.228,-999.0,-999.0,-999.0,2.067,32.19,s
100274,63.467,33.514,34.928,104.363,3.33,388.324,-2.692,1.25,2.523,b
100275,64.723,76.914,55.091,1.777,-999.0,-999.0,-999.0,2.255,1.777,b
100276,-999.0,63.975,92.267,3.615,-999.0,-999.0,-999.0,2.819,3.615,b
100277,140.133,63.278,92.949,22.716,-999.0,-999.0,-999.0,2.903,30.909,b
100278,128.884,110.247,103.608,45.158,-999.0,-999.0,-999.0,2.444,15.659,b
100279,109.581,12.847,79.47,16.483,-999.0,-999.0,-999.0,2.969,21.683,s
100280,109.909,31.504,68.59,120.18,2.678,153.461,-1.616,1.641,43.918,s
100281,146.231,39.346,118.031,4.479,-999.0,-999.0,-999.0,3.03,4.479,b
100282,102.321,34.501,68.191,48.128,-999.0,-999.0,-999.0,3.117,8.921,b
100283,90.601,57.611,64.349,18.165,-999.0,-999.0,-999.0,3.107,24.664,b
100284,99.475,11.191,60.289,123.945,0.033,30.562,0.103,1.375,29.68,b
100285,113.008,7.989,84.479,75.256,-999.0,-999.0,-999.0,2.215,5.378,s
100286,124.75,19.515,96.646,84.298,-999.0,-999.0,-999.0,2.395,22.988,s
100287,18.614,104.884,15.073,139.622,0.885,88.122,2.916,0.267,11.362,b
100288,96.679,44.003,70.497,60.201,-999.0,-999.0,-999.0,2.463,48.372,s
100289,-999.0,76.254,51.567,29.376,-999.0,-999.0,-999.0,1.763,29.376,b
100290,102.686,74.516,83.383,23.143,-999.0,-999.0,-999.0,2.392,23.143,b
100291,80.256,75.955,65.577,12.993,-999.0,-999.0,-999.0,2.296,12.993,b
100292,-999.0,56.121,55.569,2.79,-999.0,-999.0,-999.0,2.138,2.79,b
100293,-999.0,95.014,33.263,3.094,-999.0,-999.0,-999.0,1.117,3.094,b
100294,90.925,6.6,57.152,35.935,-999.0,-999.0,-999.0,2.701,7.204,s
100295,131.087,25.25,85.624,82.271,0.334,77.456,0.151,2.151,29.478,s
100296,126.883,74.961,61.247,151.523,5.879,1325.068,-8.079,1.48,20.057,s
100297,125.646,39.399,96.666,37.617,-999.0,-999.0,-999.0,2.462,1.313,s
100298,77.415,38.665,59.549,1.056,-999.0,-999.0,-999.0,2.736,1.056,b
100299,-999.0,62.898,82.669,4.11,-999.0,-999.0,-999.0,2.78,4.11,b
100300,148.436,43.251,118.888,30.788,-999.0,-999.0,-999.0,2.917,30.788,b
100301,139.057,75.401,107.797,35.663,-999.0,-999.0,-999.0,3.085,2.753,b
100302,105.183,52.973,75.095,117.176,1.546,103.296,2.658,1.723,2.99,b
100303,162.246,34.05,108.541,49.507,-999.0,-999.0,-999.0,3.145,2.658,s
100304,83.93,15.89,53.091,46.504,0.829,92.345,-0.002,2.339,46.457,b
100305,63.293,63.185,53.405,42.552,-999.0,-999.0,-999.0,1.594,42.552,b
100306,143.269,11.788,92.865,103.292,4.098,575.965,-3.336,2.039,3.308,s
100307,106.869,17.938,55.728,120.847,-999.0,-999.0,-999.0,1.583,17.439,b
100308,125.345,4.9,81.668,74.405,-999.0,-999.0,-999.0,2.259,2.939,b
100309,116.256,63.436,74.292,4.236,-999.0,-999.0,-999.0,3.072,4.236,b
100310,121.261,66.777,69.124,31.727,-999.0,-999.0,-999.0,2.977,31.727,b
100311,87.604,28.921,49.189,139.196,1.325,175.466,-0.37,1.4,39.423,s
100312,97.65,6.325,71.418,94.997,-999.0,-999.0,-999.0,1.58,29.169,s
100313,172.079,102.105,85.467,74.203,3.602,450.124,-2.435,2.756,50.079,b
100314,264.828,2.922,154.438,90.181,0.29,86.706,2.408,3.04,7.666,b
100315,106.933,23.112,74.972,30.139,-999.0,-999.0,-999.0,2.727,8.67,b
